,cctvid,vdid,dist,cctv_url
142,nfbCCTV-N3-N-28.12-M,nfbVD-N3-N-27.942-M-LOOP,0.10067422244918249,"http://cctvn01.freeway.gov.tw/vStream.php?pm=169,A33,22"
143,nfbCCTV-N1-S-198-M,nfbVD-N1-S-198-O-NW-21-南下出口-鹿港,0.10246291962897244,http://210.241.63.120/abs2mjpg/bmjpg?camera=225
144,nfbCCTV-T62-W-18.05-M,nfbVD-T62-W-17.85-M-OH,0.014620948878827582,http://117.56.12.145/T62-18K%2b050
145,nfbCCTV-N6-W-28.429-M,nfbVD-N6-W-28.458-M-OH,0.03134226703042968,http://210.241.63.120/abs2mjpg/bmjpg?camera=116
146,nfbCCTV-N3-S-60.18-M,nfbVD-N3-S-60.468-M-LOOP,0.3661632874696799,"http://210.242.179.85/vStream.php?pm=210,A57,18"
147,nfbCCTV-N5-N-14.01-M,nfbVD-N5-N-14.000-O-SW-1,0.4529299973031432,http://202.39.180.202:8081/mjpeg/X01001513116101
148,nfbCCTV-T64-W-3.52-M,nfbVD-T64-W-3.38-M-OH,0.08436823694460313,http://117.56.170.55/T64-3K%2b525
149,nfbCCTV-N6-E-17.145-M,nfbVD-N6-E-17.245-N,0.12000818719286277,http://210.241.63.120/abs2mjpg/bmjpg?camera=61
150,nfbCCTV-N5-S-30.39-M,nfbVD-N5-S-32.618-M,1.488994989421296,http://202.39.180.202:8081/mjpeg/X01001513108901
151,nfbCCTV-N1H-S-40.965-M,nfbVD-N1H-S-40.450-M-RS,0.3474969241674206,"http://cctvn01.freeway.gov.tw/vStream.php?pm=C0,1402"
152,nfbCCTV-N5-S-10.831-M,nfbVD-N5-S-10.845-M-PS,0.007745959973964266,http://202.39.180.202:8081/mjpeg/X01001510110401
153,nfbCCTV-N1-S-362.176-M,nfbVD-N1-S-362.000-N-Loop,0.08778351623088564,http://wwwvbs.sfreeway.gov.tw/live-view/mjpg/video.cgi?camera=335
154,nfbCCTV-N5-S-4.06-M,nfbVD-N5-S-3.178-M,0.9251878638264435,http://202.39.180.202:8081/mjpeg/X01001513114501
155,nfbCCTV-N1H-N-26-M,nfbVD-N1H-N-26-O-SE-1-環北,0.11026729112270124,"http://210.242.179.85/vStream.php?pm=210,A57,55"
156,nfbCCTV-N3-N-234.391-M,nfbVD-N3-N-235.050-M-LOOP,0.39195917367169786,http://210.241.63.120/abs2mjpg/bmjpg?camera=284
157,nfbCCTV-N3-S-254.9-M,nfbVD-N3-S-256.334-M-LOOP,1.0889841256112869,http://210.241.63.120/abs2mjpg/bmjpg?camera=17
158,nfbCCTV-N3-N-23.761-M,nfbVD-N3-N-23.374-M-LOOP,0.3459844123785184,"http://cctvn01.freeway.gov.tw/vStream.php?pm=166,A30,4"
159,nfbCCTV-T62-E-1.53-M,nfbVD-T62-E-0.90-M-OH,0.5071832788888306,http://117.56.12.145/T62-1K%2b538
160,nfbCCTV-T62-E-1.36-M,nfbVD-T62-E-0.90-M-OH,0.3701176305819583,http://117.56.12.145/T62-1K%2b363
161,nfbCCTV-T78-W-25.4-M,nfbVD-T78-W-25.122-N-Loop,0.2725830917658519,http://210.241.63.120/abs2mjpg/bmjpg?camera=55
162,nfbCCTV-T64-E-4.77-M,nfbVD-T64-E-5.08-M-OH,0.2151239761351535,http://117.56.170.55/T64-4K%2b770
163,nfbCCTV-N1H-N-56.585-M,nfbVD-N1-N-56.745-N-LOOP,0.2030499763742387,"http://cctvn01.freeway.gov.tw/vStream.php?pm=C0,1560"
164,nfbCCTV-T76-E-29.84-M,nfbVD-T76-E-27.000-N-RS,1.8627159467712167,http://210.241.63.120/abs2mjpg/bmjpg?camera=135
165,nfbCCTV-N1-N-79.85-M,nfbVD-N1-N-80.000-M-LOOP,0.1491612936283908,"http://210.242.179.85/vStream.php?pm=211,A58,48"
166,nfbCCTV-T64-E-23.75-M,nfbVD-T64-E-23-O-1,0.0,http://117.56.12.145/T64-23K%2b750
